,PL solar PV ground HMV vRES 2020,PL solar PV ground HMV vRES 2025,PL wind onshore HMV vRES 2025,PL wind onshore old HMV vRES 2025
63,0.011965445611103033,0.014066290957262473,0.7636377544328612,0.7125758455816971
64,0.0015900527539601797,0.0018738623858339017,0.8008077494818524,0.7417262291386075
65,0.0,0.0,0.8008077494818524,0.7487777589905846
66,0.0,0.0,0.7953194837123398,0.7476010137518594
67,0.0,0.0,0.7975138759500616,0.7464248646184926
68,0.0,0.0,0.7909343555172299,0.7288541602609806
69,0.0,0.0,0.7789003899079688,0.701020010596629
70,0.0,0.0,0.637368467078995,0.5348357501197714
71,0.0,0.0,0.6080290497168875,0.5021633765371628
72,0.0,0.0,0.5613768680412671,0.46801259514303495
73,0.0,0.0,0.538793691328102,0.4466182714485435
74,0.0,0.0,0.5265377517047694,0.41850143479832386
75,0.0,0.0,0.47996310631238204,0.36945520337154564
76,0.0,0.0,0.430069747822104,0.32471056799453607
77,0.0,0.0,0.38093811440126824,0.29316294543843263
78,0.0,0.0,0.33929413736988956,0.26499951278573014
79,0.03292449109867751,0.038515228030362315,0.29347328044855026,0.23125808946516546
80,0.08905327325243421,0.10286254561613362,0.23718440498687343,0.19411512266278477
81,0.1627597850966429,0.18507993387589014,0.20761217512820007,0.16303713134445477
82,0.20700902212614442,0.23331046834650598,0.17108564144485724,0.1295525296487635
83,0.24588469815433797,0.2750414455859501,0.17290038990796885,0.14006110730390067
84,0.2568692777212614,0.2867290085296189,0.19294306116952978,0.15889999385054138
85,0.23314411524487716,0.2614289585368853,0.20118484003540688,0.16885416026098063
86,0.18387125901031823,0.20819115661855947,0.2103713176612424,0.16968754881334594
87,0.10507581572445862,0.12094640483829498,0.1856377544328612,0.15889999385054138
88,0.033736153611393684,0.039457278034274984,0.19843483820319782,0.18310283597991484
89,0.0,0.0,0.21221226946674285,0.20436972617378887
90,0.0,0.0,0.2103713176612424,0.20952921761863716
91,0.0,0.0,0.2048557748054078,0.19581826219436949
92,0.0,0.0,0.19294306116952978,0.1780542201317036
93,0.0,0.0,0.19385759561673835,0.17386343315554648
94,0.0,0.0,0.19020128596807073,0.16635757123603426
95,0.0,0.0,0.21129164121897875,0.18057584558169704
96,0.0,0.0,0.21589782935807705,0.18648050198588761
97,0.0,0.0,0.20577427022297742,0.1822599097418173
98,0.0,0.0,0.2021021166928654,0.1907159968639145
99,0.0,0.0,0.20026786806797608,0.1932644470550298
100,0.0,0.0,0.2131332024045347,0.21039121922819912
101,0.0,0.0,0.2223592897339813,0.21644192144516433
102,0.0015900527539601797,0.0018738623858339017,0.23811356455541527,0.2199125798870262
103,0.01036471286876907,0.012189142421159715,0.24835442935120905,0.22426431530991447
104,0.03130239837959598,0.036631507193721845,0.2520875208868764,0.23213499370868404
105,0.046778618369423035,0.05454726719059171,0.2502203657389872,0.23038178132700518
106,0.052517763588141246,0.06115931187327424,0.23532699991987302,0.22513645071056693
107,0.061577086469989814,0.07156218045230456,0.2792982286987563,0.2614072488507824
108,0.049235787421886335,0.05738024228365734,0.31534150934037275,0.29224550603055216
109,0.03617360576224385,0.04228418638838272,0.34507110426955684,0.3190932676345413
110,0.024830458254614145,0.0291016794629582,0.3936390611390052,0.3675243515931042
111,0.013567821428571424,0.015943945054945056,0.4419746845334376,0.4135297498028413
112,0.003978212650777501,0.004685603892546924,0.486001497255882,0.455755077628265
113,0.0,0.0,0.5234806223245613,0.48863254471562917
114,0.0,0.0,0.5490404902506013,0.5105401151235854
115,0.0,0.0,0.566529974780225,0.5263493281474283
116,0.0,0.0,0.5603471607635588,0.5242336837079251
117,0.0,0.0,0.5552031947254341,0.5252912078749976
118,0.0,0.0,0.48700896216156253,0.45779203616047737
119,0.0,0.0,0.5224621885778807,0.48863254471562917
120,0.0,0.0,0.5408406135923796,0.50739436736349
121,0.0,0.0,0.5613768680412671,0.5263493281474283
122,0.0,0.0,0.576859040010224,0.5444285768985646
123,0.0,0.0,0.5944883772625974,0.5659188402942237
124,0.0,0.0,0.6237168874545941,0.6007992213853536
125,0.0,0.0,0.6457950331178828,0.6217982607042907
126,0.0,0.0,0.6500156286979932,0.6140367361091089
127,0.008765623201569536,0.01031249944663678,0.6447406459479246,0.6041005526439558
128,0.03454822689289346,0.04039945442858261,0.6882203657389871,0.6251335699683138
129,0.07151667025141692,0.08292820623120521,0.705326999919873,0.6475060692942032
130,0.10422882709635224,0.11999348526041609,0.6163873651895532,0.5778401211254202
131,0.13756576326115388,0.15725100408035506,0.625813778883427,0.560523920494374
132,0.1575188858087487,0.17931350332576887,0.5924097672354309,0.5126402608237737
133,0.1610111755922104,0.1831572847976032,0.576859040010224,0.5011189666879722
134,0.14968526376980085,0.17067238885224645,0.5737571211959327,0.5032083824917116
135,0.11612404784914979,0.13334586087666148,0.5183915004914366,0.44055389206985107
136,0.056629476093591036,0.06588599264418186,0.5021574985501038,0.42848951269115854
137,0.0,0.0,0.5122946090626034,0.43451097248405607
138,0.0,0.0,0.5102647494398813,0.43551663548495956
139,0.0,0.0,0.4950796502480068,0.43049428153402464
140,0.0,0.0,0.4619137465278822,0.4125372011198196
141,0.0,0.0,0.430069747822104,0.394773258841692
