,PL electricity HMV final use HMV 2025,PL electricity LV final use LV 2025
160,9146.027397260275,6636.027397260274
161,9565.068493150686,6940.068493150685
162,10394.041095890412,7541.54109589041
163,10439.589041095891,7574.589041095889
164,10075.205479452055,7310.205479452055
165,9492.191780821919,6887.191780821918
166,8927.397260273972,6477.397260273972
167,8216.849315068494,5961.849315068493
168,6577.123287671233,4772.123287671232
169,6358.493150684932,4613.493150684931
170,6267.397260273972,4547.397260273972
171,6012.328767123288,4362.328767123287
172,5793.698630136987,4203.698630136986
173,6094.315068493152,4421.815068493151
174,6540.684931506849,4745.684931506848
175,7059.931506849316,5122.431506849315
176,7451.643835616438,5406.643835616438
177,7743.150684931507,5618.1506849315065
178,7834.246575342466,5684.246575342465
179,7888.904109589042,5723.904109589041
180,7852.465753424658,5697.465753424657
181,7697.602739726028,5585.102739726027
182,7497.191780821918,5439.691780821917
183,7387.876712328768,5360.376712328767
184,7406.095890410958,5373.595890410958
185,7524.520547945205,5459.520547945205
186,7761.369863013699,5631.369863013698
187,8080.205479452055,5862.7054794520545
188,8362.602739726028,6067.602739726028
189,7943.561643835616,5763.561643835616
190,7287.6712328767135,5287.671232876713
191,6777.534246575343,4917.534246575342
192,6486.0273972602745,4706.027397260274
193,6394.931506849315,4639.931506849314
194,6394.931506849315,4639.931506849314
195,6349.3835616438355,4606.883561643835
196,6568.013698630137,4765.513698630137
197,7916.232876712329,5743.732876712328
198,9136.917808219177,6629.417808219177
199,9701.712328767124,7039.212328767123
200,9920.342465753425,7197.842465753424
201,9929.452054794521,7204.45205479452
202,10056.986301369865,7296.986301369863
203,10066.09589041096,7303.595890410958
204,10120.753424657534,7343.253424657533
205,9920.342465753425,7197.842465753424
206,9811.027397260274,7118.527397260274
207,9656.164383561645,7006.164383561644
208,9546.849315068494,6926.849315068493
209,9437.534246575344,6847.534246575342
210,9565.068493150686,6940.068493150685
211,9911.23287671233,7191.232876712329
212,9893.013698630139,7178.013698630137
213,9191.575342465752,6669.075342465752
214,8399.041095890412,6094.041095890411
215,7806.917808219178,5664.4178082191775
216,7451.643835616438,5406.643835616438
217,7251.23287671233,5261.232876712329
218,7242.123287671234,5254.623287671233
219,7169.246575342467,5201.746575342466
220,7205.68493150685,5228.184931506849
221,8344.383561643837,6054.3835616438355
222,9410.205479452055,6827.705479452054
223,9838.356164383564,7138.356164383562
224,10038.767123287673,7283.767123287671
225,10002.328767123288,7257.328767123287
226,10184.520547945207,7389.520547945206
227,10257.397260273972,7442.397260273971
228,10166.301369863015,7376.301369863014
229,10066.09589041096,7303.595890410958
230,9911.23287671233,7191.232876712329
231,9747.260273972604,7072.260273972603
232,9701.712328767124,7039.212328767123
233,9583.287671232878,6953.287671232876
234,9774.589041095891,7092.08904109589
235,10056.986301369865,7296.986301369863
236,9956.780821917808,7224.280821917808
237,9218.904109589042,6688.904109589041
238,8435.479452054795,6120.479452054795
239,7806.917808219178,5664.4178082191775
240,7478.972602739726,5426.4726027397255
241,7360.547945205481,5340.54794520548
242,7342.328767123288,5327.328767123287
243,7242.123287671234,5254.623287671233
244,7296.780821917809,5294.280821917808
245,8408.150684931508,6100.6506849315065
246,9583.287671232878,6953.287671232876
247,10111.64383561644,7336.643835616439
248,10366.712328767124,7521.712328767122
249,10339.383561643835,7501.8835616438355
250,10448.698630136987,7581.198630136986
251,10485.136986301372,7607.63698630137
252,10457.808219178081,7587.808219178081
253,10284.72602739726,7462.22602739726
254,10111.64383561644,7336.643835616439
255,9947.671232876713,7217.671232876713
256,9838.356164383564,7138.356164383562
257,9774.589041095891,7092.08904109589
258,9883.90410958904,7171.404109589041
259,10084.315068493152,7316.81506849315
260,10011.438356164384,7263.938356164383
261,9273.561643835617,6728.561643835616
262,8517.465753424658,6179.965753424657
263,7916.232876712329,5743.732876712328
264,7551.8493150684935,5479.349315068493
265,7415.2054794520545,5380.2054794520545
266,7342.328767123288,5327.328767123287
267,7233.013698630138,5248.013698630137
268,7342.328767123288,5327.328767123287
269,8426.369863013699,6113.869863013699
270,9546.849315068494,6926.849315068493
271,10075.205479452055,7310.205479452055
272,10248.287671232878,7435.787671232876
273,10230.068493150686,7422.568493150685
274,10375.82191780822,7528.321917808219
275,10357.602739726028,7515.102739726027
276,10330.27397260274,7495.2739726027385
