node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,1.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,2.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,1.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Turów B02, Turów B03, Turów B04, Turów B05, Turów B06",,,2.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Ostrołęka B B01, Ostrołęka B B02",,,1.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Bełchatów B02, Bełchatów B03, Bełchatów B04, Bełchatów B05",,,1.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Bełchatów B06, Bełchatów B07, Bełchatów B08, Bełchatów B09, Bełchatów B10, Bełchatów B11, Bełchatów B12, Bełchatów B14",,,2.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Solina H1, Solina H2, Solina H3, Solina H4",,,,159.0,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Rybnik B5, Rybnik B6",,,1.0,,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,484.0,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,334.0,,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,,3.0,,,,,,,,2025-01-06,2025-01-06 23:39:30.438,2025-01-06 22:39:30.438
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Turów B02, Turów B03, Turów B04, Turów B05, Turów B06",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Ostrołęka B B01, Ostrołęka B B02",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Bełchatów B02, Bełchatów B03, Bełchatów B04, Bełchatów B05",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Bełchatów B06, Bełchatów B07, Bełchatów B08, Bełchatów B09, Bełchatów B10, Bełchatów B11, Bełchatów B12, Bełchatów B14",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Rybnik B5, Rybnik B6",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,3.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Połaniec B2, Połaniec B3, Połaniec B4",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,434.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,,2.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B3, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Opole B1, Opole B2, Opole B3, Opole B4, Opole B5, Opole B6",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Połaniec B2, Połaniec B3, Połaniec B4, Połaniec B5, Połaniec B6, Połaniec B7",,,2.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Łaziska 3 B09, Łaziska 3 B10",,,1.0,,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Porąbka Żar H1, Porąbka Żar H2, Porąbka Żar H3, Porąbka Żar H4",,,,,2.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,,1.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,334.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Porąbka Żar H1, Porąbka Żar H2, Porąbka Żar H3, Porąbka Żar H4",,,,,3.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Bełchatów B02, Bełchatów B05",,,,489.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,434.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"ESP Żarnowiec H1, ESP Żarnowiec H2, ESP Żarnowiec H3, ESP Żarnowiec H4",,,,,2.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Porąbka Żar H1, Porąbka Żar H2, Porąbka Żar H3, Porąbka Żar H4",,,,,2.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Kozienice 1 B4,,,,163.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Kozienice 1 B7,,,,153.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Kozienice 1 B8,,,,156.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Kozienice 1 B3,,,,156.0,,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,Kozienice 1 B8,,0.0,0.0,0.0,0.0,,,,,,,,2025-01-07,2025-01-07 22:14:35.365,2025-01-07 21:14:35.365
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,1.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B3, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,2.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,Jaworzno 2  B7,,,1.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Kozienice 1 B1, Kozienice 1 B2, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B6, Kozienice 1 B7, Kozienice 1 B8",,,,,4.0,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,1.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8",,,2.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,3.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
,,"Kozienice 1 B1, Kozienice 1 B3, Kozienice 1 B4, Kozienice 1 B5, Kozienice 1 B7, Kozienice 1 B8, Kozienice 2 B09, Kozienice 2 B10, Kozienice 2 B11",,,2.0,,,,,,,,,,2025-01-08,2025-01-08 23:15:00.341,2025-01-08 22:15:00.341
