node,resource_name,resource_code,direction,pol_min_power_of_unit,pol_min_power_of_unit_plant,pol_max_power_of_unit_plant,pol_max_power_of_unit,from_dtime,from_dtime_utc,to_dtime,to_dtime_utc,time_conditions,limiting_element,add_cond,business_date,publication_ts,publication_ts_utc,year,month,period
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-29,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Kozienice 1 B2, Kozienice 1 B6",,,2.0,,,,,,,,,,2026-01-30,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-20,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-21,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-22,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-23,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-24,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-25,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-26,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-27,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-28,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,EC Wrotków B1,,99.0,,,,,,,,,,,2026-01-29,2025-11-28 16:30:00.830,2025-11-28 15:30:00.830,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-23,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-24,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-25,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
,,"Jaworzno 2  B7, Jaworzno 3 B1, Jaworzno 3 B2, Jaworzno 3 B4, Jaworzno 3 B5, Jaworzno 3 B6",,,3.0,,,,,,,,,,2026-01-26,2024-11-29 14:36:30.440,2024-11-29 13:36:30.440,2026,1,January 2026
